iter	Logloss
0	0.6383020357
1	0.5952856977
2	0.5600762534
3	0.5302488723
4	0.5047628367
5	0.4848881732
6	0.4668966679
7	0.4518029688
8	0.4392642115
9	0.4275261819
10	0.4194908582
11	0.411835496
12	0.4048222223
13	0.3987216447
14	0.3944867388
15	0.3909110877
16	0.3872818809
17	0.384163252
18	0.3809504967
19	0.3785089932
20	0.3765770143
21	0.3747127143
22	0.3728722189
23	0.3709579189
24	0.3694727878
25	0.368141123
26	0.3669053332
27	0.3658519462
28	0.3647816836
29	0.3640637222
30	0.3631460878
31	0.3624284506
32	0.3617964755
33	0.3611167022
34	0.3602980548
35	0.3596789069
36	0.3589150521
37	0.3583901149
38	0.357839881
39	0.3574112249
40	0.3568438303
41	0.3562883923
42	0.355906473
43	0.3555926863
44	0.355162311
45	0.3546559189
46	0.3543238894
47	0.3540206517
48	0.3537650703
49	0.3533278274
50	0.3531313983
51	0.352789411
52	0.3524031979
53	0.3520444032
54	0.3517294492
55	0.3513489291
56	0.3510424891
57	0.3507203003
58	0.350454833
59	0.3501581703
60	0.3498691654
61	0.3497349251
62	0.3496042437
63	0.3493358851
64	0.3490732766
65	0.3487573629
66	0.3485527311
67	0.3483475671
68	0.3481643178
69	0.3480193297
70	0.3478913057
71	0.3476821534
72	0.3473510094
73	0.3471721998
74	0.3469754705
75	0.3467292536
76	0.3463999392
77	0.3461547557
78	0.3460467308
79	0.3458961755
80	0.3456982413
81	0.345446293
82	0.345276064
83	0.3450420301
84	0.3448706891
85	0.3446320473
86	0.344496273
87	0.3443764818
88	0.3441037374
89	0.3439735297
90	0.343767274
91	0.3435320003
92	0.3431969282
93	0.3430337967
94	0.3428972975
95	0.3427497227
96	0.3425191707
97	0.3422919434
98	0.3421166254
99	0.3419761329
100	0.3418160561
101	0.3416719224
102	0.3414933838
103	0.3412986386
104	0.3410709347
105	0.3409343626
106	0.3407871016
107	0.3406854878
108	0.3405486968
109	0.3404216833
110	0.3402048984
111	0.3401438675
112	0.3400303958
113	0.3399288641
114	0.3398147833
115	0.3395924824
116	0.3394873441
117	0.339285781
118	0.3390755481
119	0.3389433528
120	0.3387920966
121	0.3385643842
122	0.3384430685
123	0.3383433071
124	0.3382148172
125	0.3380300895
126	0.3378616301
127	0.3377542385
128	0.3376817899
129	0.3375456352
130	0.3374676571
131	0.3373820302
132	0.3372032874
133	0.3370339457
134	0.3368644294
135	0.3367004545
136	0.3365491988
137	0.3364058072
138	0.3362384955
139	0.3361533511
140	0.3360027997
141	0.3359430366
142	0.3357718276
143	0.3356836622
144	0.3355791872
145	0.3354266092
146	0.3353558863
147	0.3351931968
148	0.3350772545
149	0.3349051368
150	0.334764267
151	0.3346357443
152	0.3345491465
153	0.3344589271
154	0.3343677582
155	0.3342621467
156	0.3341173663
157	0.3339596645
158	0.3338471102
159	0.3336845617
160	0.3335568513
161	0.3334205025
162	0.3332872107
163	0.333177498
164	0.3330512983
165	0.3329603402
166	0.3328741752
167	0.3327791815
168	0.3326361196
169	0.3324781785
170	0.3323615938
171	0.3322762502
172	0.3320733537
173	0.3319803646
174	0.3318951453
175	0.3317971958
176	0.3316911305
177	0.3316198893
178	0.3315364515
179	0.3314305672
180	0.331370524
181	0.3312610233
182	0.3312015049
183	0.3310108439
184	0.3308737601
185	0.3307683439
186	0.3306985328
187	0.3305867965
188	0.3304812405
189	0.330365205
190	0.330223356
191	0.3301387258
192	0.3300199394
193	0.3299291775
194	0.3297996805
195	0.3296747341
196	0.329526104
197	0.329454283
198	0.3293456415
199	0.329282894
200	0.3291120489
201	0.3290228504
202	0.328923478
203	0.3287907432
204	0.3287128452
205	0.3285956055
206	0.328466216
207	0.328340615
208	0.328240903
209	0.3281541269
210	0.3280515146
211	0.3279829446
212	0.3278981396
213	0.3277401417
214	0.3276586031
215	0.3275663234
216	0.3275193886
217	0.3274475282
218	0.3273825801
219	0.3273071385
220	0.3272261656
221	0.3271307556
222	0.3270155357
223	0.3269238574
224	0.3268071763
225	0.3266453794
226	0.3265547368
227	0.3264457035
228	0.3263811516
229	0.3262800777
230	0.3261533604
231	0.3260504647
232	0.3259971693
233	0.3258758581
234	0.3257973585
235	0.3256848861
236	0.3255704054
237	0.3254485417
238	0.3253936093
239	0.3253269091
240	0.3252095906
241	0.325130579
242	0.3250096641
243	0.3249369927
244	0.3248531475
245	0.3247964486
246	0.3246886423
247	0.3246383357
248	0.3245701982
249	0.3244749066
250	0.3243627128
251	0.3242864757
252	0.3241510293
253	0.324078838
254	0.324029984
255	0.3239718703
256	0.3238974049
257	0.3238024086
258	0.3237381433
259	0.3236572351
260	0.3235895278
261	0.3235276757
262	0.323437756
263	0.3233223137
264	0.3232058276
265	0.323104886
266	0.323046382
267	0.3229612913
268	0.3229170296
269	0.3228084673
270	0.3227259582
271	0.3225456023
272	0.3224791652
273	0.3223470389
274	0.3222660134
275	0.3221792134
276	0.3220915905
277	0.3220040961
278	0.3219437923
279	0.3218504255
280	0.3217863224
281	0.3217202864
282	0.3216345649
283	0.3215438038
284	0.3214546142
285	0.3213618301
286	0.3213080919
287	0.3212651636
288	0.321179648
289	0.3210408597
290	0.3208689739
291	0.320822357
292	0.3207558917
293	0.3206860459
294	0.3206217681
295	0.3205604733
296	0.320454612
297	0.3203675455
298	0.3203037361
299	0.3202387511
300	0.3201474883
301	0.3200711018
302	0.3200079647
303	0.3199583352
304	0.319888882
305	0.3198364836
306	0.3197845687
307	0.3197026538
308	0.3195734592
309	0.3194833781
310	0.3194315723
311	0.3193468444
312	0.3192593714
313	0.3191715376
314	0.3191321433
315	0.3190617475
316	0.3189123273
317	0.3188480692
318	0.3187674845
319	0.3186978981
320	0.3186011241
321	0.3184671494
322	0.3183952414
323	0.3183700606
324	0.3182782513
325	0.3182103985
326	0.3181643439
327	0.3180520722
328	0.3179936068
329	0.3179253771
330	0.3178566373
331	0.3178238809
332	0.3177754913
333	0.3177416851
334	0.3176816311
335	0.3175664758
336	0.3174860438
337	0.3174142335
338	0.317326178
339	0.3171804625
340	0.3170752362
341	0.3170359418
342	0.3169454201
343	0.3169176224
344	0.3168404064
345	0.3167730003
346	0.316694321
347	0.3166234625
348	0.3165491199
349	0.3165133166
350	0.3164318148
351	0.3163385253
352	0.3162705308
353	0.316197664
354	0.3161576825
355	0.3160523076
356	0.3159955392
357	0.3159383916
358	0.3158652763
359	0.3158067311
360	0.3157057288
361	0.3156289653
362	0.3155443777
363	0.3154353819
364	0.3153461897
365	0.3153056497
366	0.3152563338
367	0.315171947
368	0.3151236346
369	0.3150557739
370	0.3149991148
371	0.3149495124
372	0.3148893658
373	0.3148070904
374	0.3147243989
375	0.3146260409
376	0.3145535487
377	0.314488029
378	0.3144028089
379	0.3143599329
380	0.3142642318
381	0.314211925
382	0.3141444567
383	0.3140876722
384	0.3140096945
385	0.3139708472
386	0.3139099524
387	0.3138127554
388	0.3137454652
389	0.3136901779
390	0.3136026433
391	0.3135194149
392	0.3134901471
393	0.3134209767
394	0.3133532616
395	0.3132761002
396	0.3131896968
397	0.3131294868
398	0.3130716327
399	0.3130135576
400	0.3129601794
401	0.3129303992
402	0.3128229466
403	0.3127690995
404	0.3127193929
405	0.3126801126
406	0.3125745721
407	0.3125369219
408	0.3124699992
409	0.3124085509
410	0.3123504672
411	0.3122561102
412	0.3121604766
413	0.3120827651
414	0.312067747
415	0.3119891127
416	0.3119518019
417	0.31192185
418	0.3118708097
419	0.3117806937
420	0.311699998
421	0.3116022216
422	0.3115479021
423	0.311482904
424	0.3114010585
425	0.3113469692
426	0.3112988388
427	0.3112377092
428	0.3111447361
429	0.3111132324
430	0.3110399722
431	0.3109976439
432	0.3109295956
433	0.3108760775
434	0.3108088959
435	0.3107300377
436	0.310635771
437	0.3105713646
438	0.3105168229
439	0.3104542781
440	0.3103877322
441	0.310299221
442	0.3102309872
443	0.3101783263
444	0.3101035269
445	0.3100443709
446	0.3099727448
447	0.3098887287
448	0.3098115862
449	0.3097306203
450	0.3096821922
451	0.3096321098
452	0.3095686426
453	0.3095267823
454	0.3094646589
455	0.3093970197
456	0.3093581012
457	0.3093000489
458	0.3092653742
459	0.309198847
460	0.3091545359
461	0.3090793256
462	0.3089932404
463	0.3089580911
464	0.3088919431
465	0.3088616529
466	0.3088074084
467	0.3087362063
468	0.3086688998
469	0.3086055111
470	0.3085361535
471	0.3085005974
472	0.308432374
473	0.30836359
474	0.3083218308
475	0.3082766435
476	0.3082321706
477	0.3081626926
478	0.3081433797
479	0.3081018123
480	0.3080443463
481	0.3080053808
482	0.3079480903
483	0.3079028355
484	0.3078691797
485	0.3077927872
486	0.3077378974
487	0.3077113125
488	0.3076931318
489	0.3076479862
490	0.3075987868
491	0.3075268042
492	0.3074902463
493	0.3073990677
494	0.3073341178
495	0.3072682741
496	0.3072238898
497	0.3071637072
498	0.3070881413
499	0.3070238691
500	0.3069771812
501	0.3069218969
502	0.3068774662
503	0.3068289819
504	0.3067504296
505	0.3067071268
506	0.3066525148
507	0.3066298212
508	0.3065693045
509	0.3065291441
510	0.3064739641
511	0.3064047601
512	0.3063719233
513	0.3063335399
514	0.3062388809
515	0.3062093533
516	0.3061360069
517	0.3061182452
518	0.3060599528
519	0.306010171
520	0.305937068
521	0.3059114603
522	0.3058726253
523	0.3058236151
524	0.3057635497
525	0.305706375
526	0.3056425602
527	0.3055789611
528	0.3054941905
529	0.3054493238
530	0.3053944713
531	0.3053648605
532	0.3053243033
533	0.3052742198
534	0.3052266683
535	0.3051737072
536	0.3051152942
537	0.3050665121
538	0.3050155228
539	0.304999653
540	0.3049408984
541	0.3048887106
542	0.304820271
543	0.3047928859
544	0.30474065
545	0.3046714672
546	0.3045903778
547	0.3045497226
548	0.3045211141
549	0.3044606445
550	0.3044173449
551	0.3043429292
552	0.3043137603
553	0.3042829734
554	0.3042445184
555	0.3041865546
556	0.3041308362
557	0.3040676392
558	0.3040071779
559	0.3039572042
560	0.303899477
561	0.303861102
562	0.3038100417
563	0.3037277072
564	0.3036699313
565	0.3035984476
566	0.3035300505
567	0.3034764143
568	0.3034262275
569	0.3033594865
570	0.3033121257
571	0.3032694865
572	0.3031972466
573	0.3031573737
574	0.3030813215
575	0.3030350789
576	0.302989524
577	0.3029478804
578	0.3028743456
579	0.3027957946
580	0.3027434123
581	0.3027031222
582	0.3026597228
583	0.3026199359
584	0.302532882
585	0.3024727798
586	0.3024309418
587	0.3023826278
588	0.3023236352
589	0.3022984148
590	0.3022635464
591	0.3022264007
592	0.302192204
593	0.3021569136
594	0.302094781
595	0.3020385419
596	0.3019870151
597	0.3019406384
598	0.301905607
599	0.3018693136
600	0.3018143195
601	0.3017810917
602	0.3017490484
603	0.3017322348
604	0.3016892091
605	0.3016244686
606	0.3015859105
607	0.3015413985
608	0.3015046527
609	0.3014590156
610	0.3013932505
611	0.3013390737
612	0.3012978219
613	0.3012706397
614	0.3012399982
615	0.3012104796
616	0.3011861646
617	0.3011467876
618	0.3010893273
619	0.3010190243
620	0.3009599087
621	0.3008888862
622	0.3008534521
623	0.3008065972
624	0.3007630294
625	0.3007134364
626	0.3006598674
627	0.3005848832
628	0.3005657874
629	0.3004821832
630	0.3004158757
631	0.3003744911
632	0.3003222725
633	0.3002940554
634	0.3002455769
635	0.3002309188
636	0.3001636867
637	0.300111334
638	0.300069859
639	0.3000013058
640	0.2999644189
641	0.2998863854
642	0.2998340489
643	0.2997940868
644	0.2997337219
645	0.2996771226
646	0.2996635752
647	0.2996078706
648	0.299559512
649	0.2995119515
650	0.2994580289
651	0.2994250661
